Plant	Name of Plant	Plant Family	Virus Genome	Virus Type	Virus Family	Name of Virus	Virus Strain	Type of Extract	Active Class	Actve Compound	Title of Paper	Name of Author	Reference of Journal	PMID No.
Angiosperm(Phanerogams)	Agastache rugosa	Lamiaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract		Rosmarinic acid	HIV integrase inhibitory activity of Agastache rugosa	Kim HK. et. al.	Arch Pharm Res. 1999 Oct;22(5):520-3	10549582
Angiosperm(Phanerogams)	Andrographis paniculata	Acanthaceae	RNA	Class VI	Retroviridae	HIV		Aqueous extract			Screening of Indonesian plant extracts for anti‐human immunodeficiency virus—type 1 (HIV‐1) activity	Otake T. et. al.	Phytotherapy Research. 1995 Feb.Volume 9, Issue 1 6-10	
Angiosperm(Phanerogams)	Acer okamotoanum	Aceraceae	RNA	Class VI	Retroviridae	HIV		Ethyl acetate extract	Flavonoids	Gallate ester	A New Flavonol Glycoside Gallate Ester from Acer okamotoanum and Its Inhibitory Activity against Human Immunodeficiency Virus-1 (HIV-1) Integrase	Kim HJ. et. al.	J Nat Prod. 1998 Jan;61(1):145-8	9461665
Thallophyta	Lentinus edodes mycelia	Agaricaceae	RNA	Class VI	Retroviridae	HIV				Sulfated lentinan	Structural Characterization of the Immunoactive and Antiviral Water-solubilized Lignin in an Extract of the Culture Medium of Lentinus edodes Mycelia (LEM)	Suzuki H. et. al.	Agric Biol Chem. 1990 Feb;54(2):479-87	1368512
Angiosperm(Phanerogams)	Galanthus nivalis L.	Amaryllidaceae	RNA	Class VI	Retroviridae	HIV			Lectins	G. nivalis agglutinin (GNA)	Differential in vitro inhibitory activity against HIV-1 of alpha-(1-3)- and alpha-(1-6)-D-mannose specific plant lectins : Implication for microbicide development	Saidi H. et. al.	J Transl Med. 2007 Jun 12;5:28	17565674
Angiosperm(Phanerogams)	Hippeastrum hybrid	Amaryllidaceae	RNA	Class VI	Retroviridae	HIV				Hippeastrum Hybrid Agglutinin (HHA), Monocot Mannose-Binding Lectins (MBLs)	Marked depletion of glycosylation sites in HIV-1 gp120 under selection pressure by the mannose-specific plant lectins of Hippeastrum hybrid and Galanthus nivalis	Balzarini J. et. al.	Mol Pharmacol. 2005 May;67(5):1556-65. Epub 2005 Feb 17	15718224
Angiosperm(Phanerogams)	Rhus succedanea	Anacardiaceae	RNA	Class VI	Retroviridae	HIV			Biflavonoids, Robustaflavone, Hinokiflavone		In Vitro Anti-HIV Activity of Biflavonoids Isolated from Rhus succedanea and Garcinia multiflora	Lin YM. et. al.	J Nat Prod. 1997 Sep;60(9):884-8	9322359
Angiosperm(Phanerogams)	Garcinia multiflora	Clusiaceae	RNA	Class VI	Retroviridae	HIV			Biflavonoids, Robustaflavone, Hinokiflavone		In Vitro Anti-HIV Activity of Biflavonoids Isolated from Rhus succedanea and Garcinia multiflora	Lin YM. et. al.	J Nat Prod. 1997 Sep;60(9):884-	9322359
Angiosperm(Phanerogams)	Ancistrocladus korupensis	Ancistrocladaceae	RNA	Class VI	Retroviridae	HIV				Michellamines A and B	Anti-HIV Michellamines from Ancistrocladus korupensis	Boyd MR. et. al.	J Med Chem. 1994 Jun 10;37(12):1740-5	8021914
Angiosperm(Phanerogams)	Polyalthia suberosa	Annonaceae	RNA	Class VI	Retroviridae	HIV			Triterpene, Suberosol	Lanostane	Anti-AIDS Agents, 9. Suberosol, a New C31 Lanostane-Type Triterpene and Anti-HIV Principle from Polyalthia suberosa	Li HY. et. al.	J Nat Prod. 1993 Jul;56(7):1130-3	8377018
Angiosperm(Phanerogams)	Lomatium suksdorfii	Apiaceae	RNA	Class VI	Retroviridae	HIV				Suksdorfin	New developments in natural products‐based anti‐AIDS research	Yu D. et. al.	Med Res Rev. 2007 Jan;27(1):108-32	16888749
Thallophyta	Agardhiella tenera	Areschougiaceae	RNA	Class VI	Retroviridae	HIV				Sulfonated polysaccharides	Ethnomedicinal plants and other natural products with anti-HIV active compounds and their putative modes of action	Chinsembu KC. and Hedimbi M.	International Journal for Biotechnology and Molecular Biology Research (IJBMBR) 2010 Vol.1 No.6 pp.74-91	
Angiosperm(Phanerogams)	Bulbine alooides	Asphodelaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Ethanol extract			In vitro anti-HIV activity of five selected South African medicinal plant extracts	Klos M. et. al.	J Ethnopharmacol. 2009 Jul 15;124(2):182-8.	19409474
Angiosperm(Phanerogams)	Leonotis leonurus	Lamiaceae	RNA	Class VI	Retroviridae	HIV	HIV-1	Aqueous and Ethanol extract			In vitro anti-HIV activity of five selected South African medicinal plant extracts	Klos M. et. al.	J Ethnopharmacol. 2009 Jul 15;124(2):182-8	19409474
Angiosperm(Phanerogams)	Achyrocline satureioides	Asteraceae	RNA	Class VI	Retroviridae	HIV				Dicaffeoylquinic acids: 3,5-dicaffeoylquinic acid, 1-methoxyoxalyl-3,5dicaffeoylquinic acid	Inhibitors of HIV-1 replication that inhibit HIV integrase	Robinson WE Jr. et. al.	Proc Natl Acad Sci U S A. 1996 Jun 25;93(13):6326-31	8692814
Angiosperm(Phanerogams)	Arctium lappa	Asteraceae	RNA	Class VI	Retroviridae	HIV				Wedelolactone, Orobol	Mechanism of inhibition of HIV-1 infection in Vitro by purified extract of Prunella vulgaris	Yao XJ. et. al.	Virology. 1992 Mar;187(1):56-62	1371029
Angiosperm(Phanerogams)	Arnebia euchroma	Boraginaceae	RNA	Class VI	Retroviridae	HIV				Monosodium and monopotassium salts of isomeric caffeic acid tetramer	Ethnomedicinal plants and other natural products with anti-HIV active compounds and their putative modes of action	Chinsembu KC. and Hedimbi M.	International Journal for Biotechnology and Molecular Biology Research (IJBMBR) 2010 Vol.1 No.6 pp.74-91	
Angiosperm(Phanerogams)	Humulus lupulus	Cannabaceae	RNA	Class VI	Retroviridae	HIV				Xanthohumol	Xanthohumol, a novel anti-HIV-1 agent purified from Hops Humulus lupulus	Wang Q. et. al.	Antiviral Res. 2004 Dec;64(3):189-94	15550272
Angiosperm(Phanerogams)	Tripterygium hypoglaucum	Celastraceae	RNA	Class VI	Retroviridae	HIV				Triptonine A and Triptonine B	Sesquiterpene Alkaloids from Tripterygium hypoglaucum and Tripterygium wilfordii: A New Class of Potent Anti-HIV Agents	Duan H. et. al.	J Nat Prod. 2000 Mar;63(3):357-61	10757718
Angiosperm(Phanerogams)	Celastrus hindsii	Celastraceae	RNA	Class VI	Retroviridae	HIV				Celasdin B	Antitumour and anti-AIDS triterpenes from Celastrus hindsii	Kuo YH. and Kuo LM.	Phytochemistry. 1997 Apr;44(7):1275-81	9115698
Angiosperm(Phanerogams)	Tripterygium wilfordii	Celastraceae	RNA	Class VI	Retroviridae	HIV				Lactones	Sesquiterpene Alkaloids from Tripterygium hypoglaucum and Tripterygium wilfordii: A New Class of Potent Anti-HIV Agents	Duan H. et. al.	J Nat Prod. 2000 Mar;63(3):357-61	10757718
Angiosperm(Phanerogams)	Callophyllum cordatooblongum	Clusiaceae	RNA	Class VI	Retroviridae	HIV				Cordatolide A and B	Inhibition of Human Immunodeficiency Virus Type 1 Reverse Transcriptase Activity by Cordatolides Isolated from Calophyllum cordato-oblongum	Dharmaratne HR. et. al.	Planta Med. 1998 Jun;64(5):460-1	9690350
Angiosperm(Phanerogams)	Marila laxiflora	Clusiaceae	RNA	Class VI	Retroviridae	HIV				Laxofloranone	Laxifloranone, a New Phloroglucinol Derivative from Marila laxiflora	Bokesch HR. et. al.	J Nat Prod. 1999 Aug;62(8):1197-9	10479340
Angiosperm(Phanerogams)	Symphonia globulifera	Clusiaceae	RNA	Class VI	Retroviridae	HIV				Guttiferone A	The guttiferones, HIV-inhibitory benzophenones from Symphoniaglobulifera, Garcinialivingstonei, Garciniaovalifolia and Clusiarosea	Gustafson Kirk R. et. al.	TetrahedronVolume 48, Issue 46, 1992, Pages 10093-10102	
Angiosperm(Phanerogams)	Hypericum perforatum L.	Clusiaceae	RNA	Class VI	Retroviridae	HIV				Hypericin, 3-hydroxy lauric acid	Hypericum in infection: Identification of anti-viral and anti-inflammatory constituents	Birt DF. et. al.	Pharm Biol. 2009;47(8):774-782	19907671
Angiosperm(Phanerogams)	Combretum molle	Combreataceae	RNA	Class VI	Retroviridae	HIV				Gallotannin	Evaluation of selected South African medicinal plants for inhibitory properties against human immunodeficiency virus type 1 reverse transcriptase and integrase	Bessong PO. Et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Terminalia chebula	Combreataceae	RNA	Class VI	Retroviridae	HIV				Gallic acid and galloyl glucose	Inhibition of HIV-1 integrase by galloyl glucoses from Terminalia chebula and flavonol glycoside gallates from Euphorbia pekinensis	Ahn MJ. et. al.	Planta Med. 2002 May;68(5):457-9	12058327
Angiosperm(Phanerogams)	Monotes africanus	Dipterocarpaceae	RNA	Class VI	Retroviridae	HIV			Flavonoids		Anti-HIV Prenylated Flavonoids from Monotes africanus	Meragelman KM. et. al.	J Nat Prod. 2001 Apr;64(4):546-8	11325248
Angiosperm(Phanerogams)	Vatica astrotricha	Dipterocarpaceae	RNA	Class VI	Retroviridae	HIV				6,8-diprenylaromadendrin and 6,8-diprenylkaempferol Prostratin, a 12deoxyphorbol	Inhibition of HIV-1 entry by extracts derived from traditional Chinese medicinal herbal plants	Park IW. et. al.	BMC Complement Altern Med. 2009 Aug 5;9:29	19656383
Angiosperm(Phanerogams)	Homalanthus nutan	Euphorbiaceae	RNA	Class VI	Retroviridae	HIV				Prostratin, a 12deoxyphorbol	A Review on: AIDS and Herbal Remedies	Kanta V. and Unnati S.	IJRAP 2011, 2 (6) 1709-1713	
Angiosperm(Phanerogams)	Acacia auriculiformis	Fabaceae	RNA	Class VI	Retroviridae	HIV			Alkaloids	Saponins	Micropropagation of multipurpose medicinal tree Acacia auriculiformis	Girijashankar V.	Journal of Medicinal Plants Research Vol. 5(3), pp. 462-466, 4 February, 201	
Angiosperm(Phanerogams)	Peltophorum africanum Sond	Fabaceae	RNA	Class VI	Retroviridae	HIV				Gallotannin	Evaluation of selected South African medicinal plants for inhibitory properties against human immunodeficiency virus type 1 reverse transcriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Thallophyta	Ganoderma lucidum	Ganodermataceae	RNA	Class VI	Retroviridae	HIV				Ganoderiol and Ganodermanontriol, Ganoderic acid.	Antiviral Terpenoid Constituents of Ganoderma pfeifferi	Lindequist U. et. al	J. Nat. Prod., 2005, 68 (12), pp 1728–1731	
Angiosperm(Phanerogams)	Swertia franchetiana	Gentianaceae	RNA	Class VI	Retroviridae	HIV			Flavonoids	Xanthohumol	Swertifrancheside, an HIV-Reverse Transcriptase Inhibitor and the First Flavone-Xanthone Dimer, from Swertia franchetiana	Wang JN. et. al.	J Nat Prod. 1994 Feb;57(2):211-7	7513747
Angiosperm(Phanerogams)	Calophyllum teysmannii Miq.	Guttiferae	RNA	Class VI	Retroviridae	HIV				(-)-calanolide B	Medical Ethnobotany of the Teribes of Bocas del Toro, Panama	Gupta MP. et. al.	J Ethnopharmacol. 2005 Jan 15;96(3):389-401	15619557
Thallophyta	Inonotus obliquus	Hymenochaetaceae	RNA	Class VI	Retroviridae	HIV			Water-soluble lignins		Chemical diversity of biologically active metabolites in the sclerotia of Inonotus obliquus and submerged culture strategies for up-regulating their production	Zheng W. et. al.	Appl Microbiol Biotechnol. 2010 Jul;87(4):1237-54	20532760
Angiosperm(Phanerogams)	Garcinia speciosa	Hypericaceae	RNA	Class VI	Retroviridae	HIV				Protostanes, garcisaterpenes A and C	Anti-HIV-1 Protostane Triterpenes and Digeranylbenzophenone from Trunk Bark and Stems of Garcinia speciosa	Rukachaisirikul V. et. al.	Planta Med. 2003 Dec;69(12):1141-6	14750032
Angiosperm(Phanerogams)	Melissa officinalis	Lamiaceae	RNA	Class VI	Retroviridae	HIV				Rosmarinic acid	Aqueous extracts from peppermint, sage and lemon balm leaves display potent anti-HIV-1 activity by increasing the virion density	Geuenich S. et. al.	Retrovirology. 2008 Mar 20;5:27	18355409
Angiosperm(Phanerogams)	Mentha piperita L.	Lamiaceae	RNA	Class VI	Retroviridae	HIV			Sulfonated polysaccharides		Ethnomedicinal plants and other natural products with anti-HIV active compounds and their putative modes of action	Chinsembu KC. and Hedimbi M.	International Journal for Biotechnology and Molecular Biology Research (IJBMBR) 2010 Vol.1 No.6 pp.74-91	
Angiosperm(Phanerogams)	Prunella vulgaris L.	Lamiaceae	RNA	Class VI	Retroviridae	HIV			Sulfonated polysaccharides		Mechanism of inhibition of HIV-1 infection in Vitro by purified extract of Prunella vulgaris	Yao XJ. et. al.	Virology. 1992 Mar;187(1):56-62	1371029
Angiosperm(Phanerogams)	Sideritis akmanii	Lamiaceae	RNA	Class VI	Retroviridae	HIV				Linearol	Sideritis spp.: Uses, chemical composition and pharmacological activities—A review	Gonzalez-Burgoa E. et.al.	J Ethnopharmacol. 2011 May 17;135(2):209-25	21420484
Angiosperm(Phanerogams)	Magnolia grandiflora	Magnoliaceae	RNA	Class VI	Retroviridae	HIV				Neolignas e.g. Magnolol1 and honokiol2	The antiviral activity of Egyptian Magnolia grandiflora on Human Immunodeficiency Virus (HIV)	Shaheen M. and Mostafa S.	Journal of Pharmacology and Clinical Sciences	
Angiosperm(Phanerogams)	Epinetrum villosum Troupin	Menispermaceae	RNA	Class VI	Retroviridae	HIV				Cycleanine, a bisbenzylisoquinoline alkaloid	Biologically active bisbenzylisoquinoline alkaloids from the root bark of Epinetrum villosum	Otshudi AL. et. al.	J Ethnopharmacol. 2005 Oct 31;102(1):89-94	15996841
Angiosperm(Phanerogams)	Stephania cepharantha	Menispermaceae	RNA	Class VI	Retroviridae	HIV				Cepharanthine	Screening of Chinese and Mongolian herbal drugs for anti‐human immunodeficiency virus type 1 (HIV‐1) activity	Ma CM. et. al.	Phytother Res. 2002 Mar;16(2):186-9	11933126
Angiosperm(Phanerogams)	Musa acuminata	Musaceae	RNA	Class VI	Retroviridae	HIV				BanLec, a jacalin-related lectin	A lectin isolated from bananas is a potent inhibitor of HIV replication	Swanson MD. et. al.	J Biol Chem. 2010 Mar 19;285(12):8646-55	20080975
Angiosperm(Phanerogams)	Myrothamnus flabellifolius (Welw.)	Myrothamnaceae	RNA	Class VI	Retroviridae	HIV			Polyphenols	Gallotannins, 3,4,5-tri-O-galloylquinic acids	An Overview of the Biology of the Desiccation-tolerant Resurrection Plant Myrothamnus flabellifolia	Moore JP. et. al.	Ann Bot. 2007 Feb;99(2):211-	17218343
Angiosperm(Phanerogams)	Phyllanthus niruri L.	Phyllanthaceae	RNA	Class VI	Retroviridae	HIV		Aqueous extract		Niruriside	HIV-1 Reverse Transcriptase Inhibitor from Phyllanthus niruri	Oqata T. et. al.	AIDS Res Hum Retroviruses. 1992 Nov;8(11):1937-44	1283310
Thallophyta	Flammulina velutipes	Physalacriaceae	RNA	Class VI	Retroviridae	HIV				Velutin	Isolation and characterization of velutin, a novel low-molecular-weight ribosome-inactivating protein from winter mushroom (Flammulina velutipes) fruiting bodies	Wang H. and Nq TB.	Life Sci. 2001 Mar 23;68(18):2151-8	11324720
Angiosperm(Phanerogams)	Phytolacca Americana L.	Phytolaccaceae	RNA	Class VI	Retroviridae	HIV				Pokeweed antiviral protein (PAP)	Expression of Pokeweed Antiviral Protein in Transgenic Plants Induces Virus Resistance in Grafted Wild-Type Plants Independently of Salicylic Acid Accumulation and Pathogenesis-Related Protein Synthesis	Smirnov S. et. al.	Plant Physiol. 1997 Jul;114(3):1113-112	12223762
Gymnosperms	Pinus parviflora Siebold & Zucc	Pinaceae	RNA	Class VI	Retroviridae	HIV				PC6	Ethnomedicinal plants and other natural products with anti-HIV active compounds and their putative modes of action	Chinsembu KC. and Hedimbi M.	International Journal of Biotechnology and Molecular Biology Research	
Angiosperm(Phanerogams)	Punica granatum L.	Punicaceae	RNA	Class VI	Retroviridae	HIV				PJ-S21	Punica granatum(Pomegranate) juice provides an HIV-1 entry inhibitor and candidate topical microbicide	Neurath AR. et. al.	Ann N Y Acad Sci. 2005 Nov;1056:311-27	16387698
Angiosperm(Phanerogams)	Crataegus pinatifida	Rosaceae	RNA	Class VI	Retroviridae	HIV		Methanol extract		Uvaol acid, ursolic acid	Inhibitory Effect of Triterpenes from Crataegus pinatifida on HIV-I Protease	Min BS. et. al.	Planta Med. 1999 May;65(4):374-5	10364847
Angiosperm(Phanerogams)	Geum japonicum	Rosaceae	RNA	Class VI	Retroviridae	HIV		Methanol extract		Maslinic acid	Anti-HIV Triterpene Acids from Geum japonicum	Xu HX. et. al.	J Nat Prod. 1996 Jul;59(7):643-5.	8759159
Angiosperm(Phanerogams)	Oldenlandia affinis	Rubiaceae	RNA	Class VI	Retroviridae	HIV				Circulins	Biosynthesis and insecticidal properties of plant cyclotides: The cyclic knotted proteins from Oldenlandia affinis	Jennings C. et. al.	Proc Natl Acad Sci U S A. 2001 Sep 11;98(19):10614-9	11535828
Angiosperm(Phanerogams)	Palicourea condensate	Rubiaceae	RNA	Class VI	Retroviridae	HIV				Palicourein	First cyclotide from Hybanthus (Violaceae)	Bokesch AM. et. al.	Phytochemistry	
Angiosperm(Phanerogams)	Citrus spp.	Rutaceae	RNA	Class VI	Retroviridae	HIV				Limonin and nomilin	Effect of limonin and nomilin on HIV-1 replication on infected human mononuclear cells.	Battinelli L. et. al.	Planta Med. 2003 Oct;69(10):910-3	14648393
Angiosperm(Phanerogams)	Clausena excavata	Rutaceae	RNA	Class VI	Retroviridae	HIV				Limonoid	Clausena excavata Burm. f. (Rutaceae): A review of its traditional uses, pharmacological and phytochemical properties	Arbab IA. et.al.	Journal of Medicinal Plant Research	
Angiosperm(Phanerogams)	Toddalia asiatica L.	Rutaceae	RNA	Class VI	Retroviridae	HIV				Nitidine	Studies on the chemical constituents of rutaceous plants. LXVII. The chemical constituents of Toddalia asiatica (L.) Lam. (T. aculeata Pers). Examination of coumarins using supercritical fluid and soxhlet extraction. Is toddalolactone a genuine natural coumarin	Tan S. et. al.	Yakugaku Zasshi. 1991 Jul;111(7):376-8	1783986
Angiosperm(Phanerogams)	Xanthoceras sorbifolia	Sapindaceae	RNA	Class VI	Retroviridae	HIV		Methanol extract		Oleanolic acid	Inhibitory Effects on HIV-1 Protease of Constituents from the Wood of Xanthoceras sorbifolia	Ma C. et. al.	J Nat Prod. 2000 Feb;63(2):238-42	10691716
Angiosperm(Phanerogams)	Schisandra rubriflora	Schisandraceae	RNA	Class VI	Retroviridae	HIV		Acetone extract		rubrisandrin C	Anti-HIV-1 activity of lignans from the fruits of Schisandra rubriflora	Xiao WL. et. al.	Arch Pharm Res. 2010 May;33(5):697-701	20512467
Angiosperm(Phanerogams)	Kadsura lancilimba	Schisandraceae	RNA	Class VI	Retroviridae	HIV			Triterpene lactone, lancilactone		Novel Anti-HIV Lancilactone C and Related Triterpenes from Kadsura lancilimba	Chen DF. et. al.	J Nat Prod. 1999 Jan;62(1):94-7	9917290
Angiosperm(Phanerogams)	Symplocos setchuensis	Symplocaceae	RNA	Class VI	Retroviridae	HIV				Harmine	Anti-AIDS Agents. 46.1 Anti-HIV Activity of Harman, an Anti-HIV Principle from Symplocos setchuensis, and Its Derivatives	Ishida J. et. al.	J Nat Prod. 2001 Jul;64(7):958-60	11473435
Angiosperm(Phanerogams)	Camellia japonica	Theaceae	RNA	Class VI	Retroviridae	HIV				Camellia-tannin H	Inhibitory effects of Korean medicinal plants and camelliatannin H from Camellia japonica on human immunodeficiency virus type 1 protease	Park JC. et. al.	Phytother Res. 2002 Aug;16(5):422-6	12203260
Angiosperm(Phanerogams)	Camellia sinensis	Theaceae	RNA	Class VI	Retroviridae	HIV			Polyphenols	epigallocatechin-3gallate	Green Tea: A Potential Alternative Anti-Infectious Agent Catechins and Viral Infections	Tran J. et. al.	Advances in Anthropology, 3, 198-202	
Angiosperm(Phanerogams)	Curcuma longa	Zingiberaceae	RNA	Class VI	Retroviridae	HIV				Curcumin	Recent advances in the investigation of curcuminoids	Itokawa H. et. al.	Chin Med. 2008 Sep 17;3:11	18798984
Angiosperm(Phanerogams)	Mangifera indica L.	Anacardiaceae	RNA	Class VI	Retroviridae	HIV		Aqueous extract	Polyphenols, terpenes, sterols, carotenoids, vitamins, and amino acids		A Review on Ethnopharmacological Applications, Pharmacological Activities, and Bioactive Compounds of Mangifera indica (Mango)	Ediriweera MK. et. al.	Evid Based Complement Alternat Med. 2017;2017:6949835	29456572
Angiosperm(Phanerogams)	Baissea axillaries Hua	Apocynaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Ethanol extract			Antimicrobial and toxicological evaluation of the leaves of Baissea axillaries Hua used in the management of HIV/AIDS patients	Abere TA. and Aqoreyo FM.	BMC Complement Altern Med. 2006 Jun 21;6:22	16790064
Angiosperm(Phanerogams)	Artemisia absinthium L.	Asteraceae	RNA	Class VI	Retroviridae	HIV				Cardamonin	An Overview on Cardamonin	Goncalves LM. et. al.	J Med Food. 2014 Jun;17(6):633-40	24433078
Angiosperm(Phanerogams)	Baccharis dracunculifolia	Asteraceae	RNA	Class VI	Retroviridae	HIV			Propolis- phenolics, triterepenoids, isoflavonoids, prenylated benzophenones and a naphthoquinone epoxide		Propolis volatile compounds: chemical diversity and biological activity: a review	Chem Cent. et. al.	Chem Cent J. 2014 May 2;8:28	24812573
